Area,Element,Year,Unit,Value
Pakistan,Total Population - Male,1988,1000 persons,52653.703
Pakistan,Total Population - Female,1988,1000 persons,48735.9
Pakistan,Rural population,1988,1000 persons,70951.202
Pakistan,Urban population,1988,1000 persons,30523.633
Pakistan,Total Population - Both sexes,1989,1000 persons,104512.881
Pakistan,Total Population - Male,1989,1000 persons,54234.733
Pakistan,Total Population - Female,1989,1000 persons,50278.141
Pakistan,Rural population,1989,1000 persons,72869.727
Pakistan,Urban population,1989,1000 persons,31718.763
Pakistan,Total Population - Both sexes,1990,1000 persons,107647.921
Pakistan,Total Population - Male,1990,1000 persons,55820.76
Pakistan,Total Population - Female,1990,1000 persons,51827.158
Pakistan,Rural population,1990,1000 persons,74754.921
Pakistan,Urban population,1990,1000 persons,32923.693
Pakistan,Total Population - Both sexes,1991,1000 persons,110778.648
Pakistan,Total Population - Male,1991,1000 persons,57403.279
Pakistan,Total Population - Female,1991,1000 persons,53375.376
Pakistan,Rural population,1991,1000 persons,76596.98
Pakistan,Urban population,1991,1000 persons,34133.44
Pakistan,Total Population - Both sexes,1992,1000 persons,113911.126
Pakistan,Total Population - Male,1992,1000 persons,58985.934
Pakistan,Total Population - Female,1992,1000 persons,54925.192
Pakistan,Rural population,1992,1000 persons,78397.927
Pakistan,Urban population,1992,1000 persons,35349.208
Pakistan,Total Population - Both sexes,1993,1000 persons,117086.685
Pakistan,Total Population - Male,1993,1000 persons,60591.329
Pakistan,Total Population - Female,1993,1000 persons,56495.351
Pakistan,Rural population,1993,1000 persons,80173.404
Pakistan,Urban population,1993,1000 persons,36576.156
Pakistan,Total Population - Both sexes,1994,1000 persons,120362.762
Pakistan,Total Population - Male,1994,1000 persons,62250.817
Pakistan,Total Population - Female,1994,1000 persons,58111.947
Pakistan,Rural population,1994,1000 persons,81944.046
Pakistan,Urban population,1994,1000 persons,37825.51
Pakistan,Total Population - Both sexes,1995,1000 persons,123776.839
Pakistan,Total Population - Male,1995,1000 persons,63984.934
Pakistan,Total Population - Female,1995,1000 persons,59791.901
Pakistan,Rural population,1995,1000 persons,83725.038
Pakistan,Urban population,1995,1000 persons,39104.11
Pakistan,Total Population - Both sexes,1996,1000 persons,127349.29
Pakistan,Total Population - Male,1996,1000 persons,65804.517
Pakistan,Total Population - Female,1996,1000 persons,61544.776
Pakistan,Rural population,1996,1000 persons,85522.34
Pakistan,Urban population,1996,1000 persons,40415.999
Pakistan,Total Population - Both sexes,1997,1000 persons,131057.431
Pakistan,Total Population - Male,1997,1000 persons,67697.425
Pakistan,Total Population - Female,1997,1000 persons,63360.007
Pakistan,Rural population,1997,1000 persons,87329.956
Pakistan,Urban population,1997,1000 persons,41757.031
Pakistan,Total Population - Both sexes,1998,1000 persons,134843.233
Pakistan,Total Population - Male,1998,1000 persons,69633.257
Pakistan,Total Population - Female,1998,1000 persons,65209.976
Pakistan,Rural population,1998,1000 persons,89157.996
Pakistan,Urban population,1998,1000 persons,43095.268
Pakistan,Total Population - Both sexes,1999,1000 persons,138624.621
Pakistan,Total Population - Male,1999,1000 persons,71568.899
Pakistan,Total Population - Female,1999,1000 persons,67055.726
Pakistan,Rural population,1999,1000 persons,91015.393
Pakistan,Urban population,1999,1000 persons,44390.191
Pakistan,Total Population - Both sexes,2000,1000 persons,142343.578
Pakistan,Total Population - Male,2000,1000 persons,73473.693
Pakistan,Total Population - Female,2000,1000 persons,68869.89
Pakistan,Rural population,2000,1000 persons,92835.896
Pakistan,Urban population,2000,1000 persons,45687.389
Pakistan,Total Population - Both sexes,2001,1000 persons,145978.402
Pakistan,Total Population - Male,2001,1000 persons,75336.518
Pakistan,Total Population - Female,2001,1000 persons,70641.89
Pakistan,Rural population,2001,1000 persons,94617.502
Pakistan,Urban population,2001,1000 persons,46983.935
Pakistan,Total Population - Both sexes,2002,1000 persons,149549.7
Pakistan,Total Population - Male,2002,1000 persons,77167.82
Pakistan,Total Population - Female,2002,1000 persons,72381.875
Pakistan,Rural population,2002,1000 persons,96368.659
Pakistan,Urban population,2002,1000 persons,48285.484
Pakistan,Total Population - Both sexes,2003,1000 persons,153093.373
Pakistan,Total Population - Male,2003,1000 persons,78984.832
Pakistan,Total Population - Female,2003,1000 persons,74108.539
Pakistan,Rural population,2003,1000 persons,98104.46
Pakistan,Urban population,2003,1000 persons,49598.941
Pakistan,Total Population - Both sexes,2004,1000 persons,156664.697
Pakistan,Total Population - Male,2004,1000 persons,80814.409
Pakistan,Total Population - Female,2004,1000 persons,75850.289
Pakistan,Rural population,2004,1000 persons,99845.05
Pakistan,Urban population,2004,1000 persons,50935.25
Pakistan,Total Population - Both sexes,2005,1000 persons,160304.008
Pakistan,Total Population - Male,2005,1000 persons,82676.228
Pakistan,Total Population - Female,2005,1000 persons,77627.779
Pakistan,Rural population,2005,1000 persons,101607.86
Pakistan,Urban population,2005,1000 persons,52301.807
Pakistan,Total Population - Both sexes,2006,1000 persons,164022.627
Pakistan,Total Population - Male,2006,1000 persons,84575.681
Pakistan,Total Population - Female,2006,1000 persons,79446.945
Pakistan,Rural population,2006,1000 persons,103392.912
Pakistan,Urban population,2006,1000 persons,53701.081
Pakistan,Total Population - Both sexes,2007,1000 persons,167808.105
Pakistan,Total Population - Male,2007,1000 persons,86506.754
Pakistan,Total Population - Female,2007,1000 persons,81301.352
Pakistan,Rural population,2007,1000 persons,105200.045
Pakistan,Urban population,2007,1000 persons,55132.929
Pakistan,Total Population - Both sexes,2008,1000 persons,171648.986
Pakistan,Total Population - Male,2008,1000 persons,88464.386
Pakistan,Total Population - Female,2008,1000 persons,83184.598
Pakistan,Rural population,2008,1000 persons,107040.193
Pakistan,Urban population,2008,1000 persons,56604.41
Pakistan,Total Population - Both sexes,2009,1000 persons,175525.609
Pakistan,Total Population - Male,2009,1000 persons,90439.737
Pakistan,Total Population - Female,2009,1000 persons,85085.873
Pakistan,Rural population,2009,1000 persons,108927.738
Pakistan,Urban population,2009,1000 persons,58121.842
Pakistan,Total Population - Both sexes,2010,1000 persons,179424.641
Pakistan,Total Population - Male,2010,1000 persons,92426.989
Pakistan,Total Population - Female,2010,1000 persons,86997.654
Pakistan,Rural population,2010,1000 persons,110868.669
Pakistan,Urban population,2010,1000 persons,59691.513
Pakistan,Total Population - Both sexes,2011,1000 persons,183340.174
Pakistan,Total Population - Male,2011,1000 persons,94423.091
Pakistan,Total Population - Female,2011,1000 persons,88917.077
Pakistan,Rural population,2011,1000 persons,112867.839
Pakistan,Urban population,2011,1000 persons,61316.426
Pakistan,Total Population - Both sexes,2012,1000 persons,187280.129
Pakistan,Total Population - Male,2012,1000 persons,96432.134
Pakistan,Total Population - Female,2012,1000 persons,90847.991
Pakistan,Rural population,2012,1000 persons,114917.348
Pakistan,Urban population,2012,1000 persons,62994.185
Pakistan,Total Population - Both sexes,2013,1000 persons,191260.806
Pakistan,Total Population - Male,2013,1000 persons,98463.549
Pakistan,Total Population - Female,2013,1000 persons,92797.25
Pakistan,Rural population,2013,1000 persons,116999.097
Pakistan,Urban population,2013,1000 persons,64713.498
Pakistan,Total Population - Both sexes,2014,1000 persons,195305.013
Pakistan,Total Population - Male,2014,1000 persons,100530.36
Pakistan,Total Population - Female,2014,1000 persons,94774.652
Pakistan,Rural population,2014,1000 persons,119084.632
Pakistan,Urban population,2014,1000 persons,66461.625
Pakistan,Total Population - Both sexes,2015,1000 persons,199426.964
Pakistan,Total Population - Male,2015,1000 persons,102640.691
Pakistan,Total Population - Female,2015,1000 persons,96786.262
Pakistan,Rural population,2015,1000 persons,121153.73
Pakistan,Urban population,2015,1000 persons,68226.783
Pakistan,Total Population - Both sexes,2016,1000 persons,203631.353
Pakistan,Total Population - Male,2016,1000 persons,104797.415
Pakistan,Total Population - Female,2016,1000 persons,98833.941
Pakistan,Rural population,2016,1000 persons,123198.205
Pakistan,Urban population,2016,1000 persons,70005.271
Pakistan,Total Population - Both sexes,2017,1000 persons,207906.209
Pakistan,Total Population - Male,2017,1000 persons,106993.868
Pakistan,Total Population - Female,2017,1000 persons,100912.342
Pakistan,Rural population,2017,1000 persons,125220.255
Pakistan,Urban population,2017,1000 persons,71795.7
Pakistan,Total Population - Both sexes,2018,1000 persons,212228.286
Pakistan,Total Population - Male,2018,1000 persons,109216.763
Pakistan,Total Population - Female,2018,1000 persons,103011.525
Pakistan,Rural population,2018,1000 persons,127183.388
Pakistan,Urban population,2018,1000 persons,73630.43
